Timestamp,Name,Email,Phone number,Experience in years with Angular,Email Address,Chance
10/28/2021 3:46:55,Shlomo shlomoviz,roee.ro@next-insurance.com,1234567899,,,1.1
10/28/2021 3:48:51,Roee Rokah,afds@c.com,0542207916,,,1.3
10/28/2021 5:03:52,Aviv abutbul,roee.ro@next-insurance.com,1234567899,3,,
10/28/2021 7:07:41,mohamad ifargan ,roee.ro@next-insurance.com,1234567899,1,,
10/28/2021 7:07:41,Avraham shlomo,roee.ro@next-insurance.com,1234567899,1,,
10/28/2021 7:07:41,mohamad Afargan,roee.ro@next-insurance.com,1234567899,1,,
10/28/2021 7:07:41,Katya chumachenko ,roee.ro@next-insurance.com,1234567899,1,,
10/28/2021 7:07:41,Shluftzuk shluftzukoni ,roee.ro@next-insurance.com,1234567899,1,,
10/28/2021 7:07:41,Rada romeo,roee.ro@next-insurance.com,1234567899,1,,
10/28/2021 7:07:41,Yulia kikotavo,roee.ro@next-insurance.com,1234567899,1,,
10/28/2021 7:07:41,Iris kovol,roee.ro@next-insurance.com,1234567899,1,,
